#"Step" "Time (ps)" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Box Volume (nm^3)" "Speed (ns/day)" "Time Remaining"
1000 2.0000000000000013 -526171.7054639007 103998.46730700256 -422173.2381568981 299.93023568398695 413.3674251577176 0 --
2000 3.999999999999781 -526740.4800150637 104503.53041681391 -422236.94959824975 301.38683116547446 411.7309495510266 108 23:59:57
3000 5.999999999999561 -526913.6673188033 103409.60012327554 -423504.0671955277 298.2319503363728 409.8424548195077 108 23:59:56
4000 7.999999999999341 -527496.6526316595 103652.79123321484 -423843.8613984447 298.93331035454526 409.4422720606579 108 23:59:54
5000 10.000000000000009 -527851.6291040289 104743.1880594744 -423108.4410445545 302.0780007096797 409.675746561853 107 23:59:52
6000 12.000000000000677 -527809.9765918246 103870.0565118441 -423939.92007998045 299.5599006102733 407.83865634590444 108 23:59:51
7000 14.000000000001345 -526138.5370370126 103907.84522543242 -422230.6918115802 299.6688827718977 410.88173690421013 108 23:59:49
8000 16.00000000000201 -527088.7976022325 104418.47138748528 -422670.32621474727 301.1415220241553 410.59111453204997 108 23:59:48
9000 18.000000000000902 -525456.2625148576 103958.36869526072 -421497.89381959685 299.81459180593987 410.115762451659 108 23:59:46
10000 19.999999999999794 -524896.5954580223 104288.95852484339 -420607.63693317893 300.768008602062 409.03025741555706 108 23:59:45
